TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 344024541.26793 344024542.88844997 344024544.50896996 0 0.0 50.26548245743669 0.0 0.0 0.0
2 344024544.50896996 344024546.12948996 344024547.75000995 0 0.0 50.26548245743669 0.0 0.0 0.0
3 344024547.75000995 344024549.37052995 344024550.99104995 0 0.0 50.26548245743669 0.0 0.0 0.0
4 344024550.99104995 344024552.61156994 344024554.23208994 0 0.0 50.26548245743669 0.0 0.0 0.0
5 344024554.23209 344024555.85261 344024557.47313 0 0.0 50.26548245743669 0.0 0.0 0.0
6 344024557.47313 344024559.09365 344024560.71417 0 0.0 50.26548245743669 0.0 0.0 0.0
7 344024560.71417 344024562.33469 344024563.95521 0 0.0 50.26548245743669 0.0 0.0 0.0
8 344024563.95521 344024565.57572997 344024567.19624996 0 0.0 50.26548245743669 0.0 0.0 0.0
9 344024567.19624996 344024568.81676996 344024570.43728995 0 0.0 50.26548245743669 0.0 0.0 0.0
10 344024570.43728995 344024572.05780995 344024573.67832994 0 0.0 50.26548245743669 0.0 0.0 0.0
11 344024573.67832994 344024575.29884994 344024576.91936994 0 0.0 50.26548245743669 0.0 0.0 0.0
12 344024576.91937 344024578.53989 344024580.16041 0 0.0 50.26548245743669 0.0 0.0 0.0
13 344024580.16041 344024581.78093 344024583.40145 0 0.0 50.26548245743669 0.0 0.0 0.0
14 344024583.40145 344024585.02197 344024586.64248997 0 0.0 50.26548245743669 0.0 0.0 0.0
15 344024586.64248997 344024588.26300997 344024589.88352996 0 0.0 50.26548245743669 0.0 0.0 0.0
16 344024589.88352996 344024591.50404996 344024593.12456995 0 0.0 50.26548245743669 0.0 0.0 0.0
17 344024593.12456995 344024594.74508995 344024596.36560994 0 0.0 50.26548245743669 0.0 0.0 0.0
18 344024596.36560994 344024597.98612994 344024599.60664994 0 0.0 50.26548245743669 0.0 0.0 0.0
19 344024599.60665 344024601.22717 344024602.84769 0 0.0 50.26548245743669 0.0 0.0 0.0
20 344024602.84769 344024604.46821 344024606.08873 0 0.0 50.26548245743669 0.0 0.0 0.0
21 344024606.08873 344024607.70925 344024609.32976997 0 0.0 50.26548245743669 0.0 0.0 0.0
22 344024609.32976997 344024610.95028996 344024612.57080996 0 0.0 50.26548245743669 0.0 0.0 0.0
23 344024612.57080996 344024614.19132996 344024615.81184995 0 0.0 50.26548245743669 0.0 0.0 0.0
24 344024615.81184995 344024617.43236995 344024619.05288994 0 0.0 50.26548245743669 0.0 0.0 0.0
25 344024619.05288994 344024620.67340994 344024622.29392993 0 0.0 50.26548245743669 0.0 0.0 0.0
26 344024622.29393 344024623.91445 344024625.53497 0 0.0 50.26548245743669 0.0 0.0 0.0
27 344024625.53497 344024627.15549 344024628.77601 0 0.0 50.26548245743669 0.0 0.0 0.0
28 344024628.77601 344024630.39653 344024632.01704997 0 0.0 50.26548245743669 0.0 0.0 0.0
29 344024632.01704997 344024633.63756996 344024635.25808996 0 0.0 50.26548245743669 0.0 0.0 0.0
30 344024635.25808996 344024636.87860996 344024638.49912995 0 0.0 50.26548245743669 0.0 0.0 0.0
31 344024638.49912995 344024640.11964995 344024641.74016994 0 0.0 50.26548245743669 0.0 0.0 0.0
32 344024641.74016994 344024643.36068994 344024644.98120993 0 0.0 50.26548245743669 0.0 0.0 0.0
