TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 344852685.95883 344852687.57935 344852689.19987 0 0.0 2874.75362757551 0.0 0.0 0.0
2 344852689.19987 344852690.82039 344852692.44091 0 0.0 2874.75362757551 0.0 0.0 0.0
3 344852692.44091 344852694.06143 344852695.68195 0 0.0 2874.75362757551 0.0 0.0 0.0
4 344852695.68195 344852697.30246997 344852698.92298996 0 0.0 2874.75362757551 0.0 0.0 0.0
5 344852698.92299 344852700.54351 344852702.16403 0 0.0 2874.75362757551 0.0 0.0 0.0
6 344852702.16403 344852703.78455 344852705.40507 0 0.0 2874.75362757551 0.0 0.0 0.0
7 344852705.40507 344852707.02559 344852708.64611 0 0.0 2874.75362757551 0.0 0.0 0.0
8 344852708.64611 344852710.26663 344852711.88715 0 0.0 2874.75362757551 0.0 0.0 0.0
9 344852711.88715 344852713.50767 344852715.12819 0 0.0 2874.75362757551 0.0 0.0 0.0
10 344852715.12819 344852716.74871 344852718.36923 0 0.0 2874.75362757551 0.0 0.0 0.0
11 344852718.36923 344852719.98974997 344852721.61026996 0 0.0 2874.75362757551 0.0 0.0 0.0
12 344852721.61027 344852723.23079 344852724.85131 0 0.0 2874.75362757551 0.0 0.0 0.0
13 344852724.85131 344852726.47183 344852728.09235 0 0.0 2874.75362757551 0.0 0.0 0.0
14 344852728.09235 344852729.71287 344852731.33339 0 0.0 2874.75362757551 0.0 0.0 0.0
15 344852731.33339 344852732.95391 344852734.57443 0 0.0 2874.75362757551 0.0 0.0 0.0
16 344852734.57443 344852736.19495 344852737.81547 0 0.0 2874.75362757551 0.0 0.0 0.0
17 344852737.81547 344852739.43599 344852741.05651 0 0.0 2874.75362757551 0.0 0.0 0.0
18 344852741.05651 344852742.67702997 344852744.29754996 0 0.0 2874.75362757551 0.0 0.0 0.0
19 344852744.29755 344852745.91807 344852747.53859 0 0.0 2874.75362757551 0.0 0.0 0.0
20 344852747.53859 344852749.15911 344852750.77963 0 0.0 2874.75362757551 0.0 0.0 0.0
21 344852750.77963 344852752.40015 344852754.02067 0 0.0 2874.75362757551 0.0 0.0 0.0
22 344852754.02067 344852755.64119 344852757.26171 0 0.0 2874.75362757551 0.0 0.0 0.0
23 344852757.26171 344852758.88223 344852760.50275 0 0.0 2874.75362757551 0.0 0.0 0.0
24 344852760.50275 344852762.12327 344852763.74379 0 0.0 2874.75362757551 0.0 0.0 0.0
25 344852763.74379 344852765.36430997 344852766.98482996 0 0.0 2874.75362757551 0.0 0.0 0.0
26 344852766.98483 344852768.60535 344852770.22587 0 0.0 2874.75362757551 0.0 0.0 0.0
27 344852770.22587 344852771.84639 344852773.46691 0 0.0 2874.75362757551 0.0 0.0 0.0
28 344852773.46691 344852775.08743 344852776.70795 0 0.0 2874.75362757551 0.0 0.0 0.0
29 344852776.70795 344852778.32847 344852779.94899 0 0.0 2874.75362757551 0.0 0.0 0.0
30 344852779.94899 344852781.56951 344852783.19003 0 0.0 2874.75362757551 0.0 0.0 0.0
31 344852783.19003 344852784.81055 344852786.43106997 0 0.0 2874.75362757551 0.0 0.0 0.0
32 344852786.43106997 344852788.05158997 344852789.67210996 0 0.0 2874.75362757551 0.0 0.0 0.0
33 344852789.67211 344852791.29263 344852792.91315 0 0.0 2874.75362757551 0.0 0.0 0.0
34 344852792.91315 344852794.53367 344852796.15419 0 0.0 2874.75362757551 0.0 0.0 0.0
35 344852796.15419 344852797.77471 344852799.39523 0 0.0 2874.75362757551 0.0 0.0 0.0
36 344852799.39523 344852801.01575 344852802.63627 0 0.0 2874.75362757551 0.0 0.0 0.0
37 344852802.63627 344852804.25679 344852805.87731 0 0.0 2874.75362757551 0.0 0.0 0.0
38 344852805.87731 344852807.49783 344852809.11834997 0 0.0 2874.75362757551 0.0 0.0 0.0
39 344852809.11834997 344852810.73886997 344852812.35938996 0 0.0 2874.75362757551 0.0 0.0 0.0
40 344852812.35939 344852813.97991 344852815.60043 0 0.0 2874.75362757551 0.0 0.0 0.0
41 344852815.60043 344852817.22095 344852818.84147 0 0.0 2874.75362757551 0.0 0.0 0.0
42 344852818.84147 344852820.46199 344852822.08251 0 0.0 2874.75362757551 0.0 0.0 0.0
43 344852822.08251 344852823.70303 344852825.32355 0 0.0 2874.75362757551 0.0 0.0 0.0
44 344852825.32355 344852826.94407 344852828.56459 0 0.0 2874.75362757551 0.0 0.0 0.0
45 344852828.56459 344852830.18511 344852831.80562997 0 0.0 2874.75362757551 0.0 0.0 0.0
46 344852831.80563 344852833.42615 344852835.04667 0 0.0 2874.75362757551 0.0 0.0 0.0
47 344852835.04667 344852836.66719 344852838.28771 0 0.0 2874.75362757551 0.0 0.0 0.0
48 344852838.28771 344852839.90823 344852841.52875 0 0.0 2874.75362757551 0.0 0.0 0.0
49 344852841.52875 344852843.14927 344852844.76979 0 0.0 2874.75362757551 0.0 0.0 0.0
50 344852844.76979 344852846.39031 344852848.01083 0 0.0 2874.75362757551 0.0 0.0 0.0
51 344852848.01083 344852849.63135 344852851.25187 0 0.0 2874.75362757551 0.0 0.0 0.0
52 344852851.25187 344852852.87239 344852854.49290997 0 0.0 2874.75362757551 0.0 0.0 0.0
53 344852854.49291 344852856.11343 344852857.73395 0 0.0 2874.75362757551 0.0 0.0 0.0
54 344852857.73395 344852859.35447 344852860.97499 0 0.0 2874.75362757551 0.0 0.0 0.0
55 344852860.97499 344852862.59551 344852864.21603 0 0.0 2874.75362757551 0.0 0.0 0.0
56 344852864.21603 344852865.83655 344852867.45707 0 0.0 2874.75362757551 0.0 0.0 0.0
57 344852867.45707 344852869.07759 344852870.69811 0 0.0 2874.75362757551 0.0 0.0 0.0
58 344852870.69811 344852872.31863 344852873.93915 0 0.0 2874.75362757551 0.0 0.0 0.0
59 344852873.93915 344852875.55967 344852877.18018997 0 0.0 2874.75362757551 0.0 0.0 0.0
60 344852877.18019 344852878.80071 344852880.42123 0 0.0 2874.75362757551 0.0 0.0 0.0
61 344852880.42123 344852882.04175 344852883.66227 0 0.0 2874.75362757551 0.0 0.0 0.0
62 344852883.66227 344852885.28279 344852886.90331 0 0.0 2874.75362757551 0.0 0.0 0.0
63 344852886.90331 344852888.52383 344852890.14435 0 0.0 2874.75362757551 0.0 0.0 0.0
64 344852890.14435 344852891.76487 344852893.38539 0 0.0 2874.75362757551 0.0 0.0 0.0
65 344852893.38539 344852895.00591 344852896.62643 0 0.0 2874.75362757551 0.0 0.0 0.0
66 344852896.62643 344852898.24695 344852899.86746997 0 0.0 2874.75362757551 0.0 0.0 0.0
67 344852899.86747 344852901.48799 344852903.10851 0 0.0 2874.75362757551 0.0 0.0 0.0
68 344852903.10851 344852904.72903 344852906.34955 0 0.0 2874.75362757551 0.0 0.0 0.0
69 344852906.34955 344852907.97007 344852909.59059 0 0.0 2874.75362757551 0.0 0.0 0.0
70 344852909.59059 344852911.21111 344852912.83163 0 0.0 2874.75362757551 0.0 0.0 0.0
71 344852912.83163 344852914.45215 344852916.07267 0 0.0 2874.75362757551 0.0 0.0 0.0
72 344852916.07267 344852917.69319 344852919.31371 0 0.0 2874.75362757551 0.0 0.0 0.0
73 344852919.31371 344852920.93422997 344852922.55474997 0 0.0 2874.75362757551 0.0 0.0 0.0
74 344852922.55475 344852924.17527 344852925.79579 0 0.0 2874.75362757551 0.0 0.0 0.0
75 344852925.79579 344852927.41631 344852929.03683 0 0.0 2874.75362757551 0.0 0.0 0.0
76 344852929.03683 344852930.65735 344852932.27787 0 0.0 2874.75362757551 0.0 0.0 0.0
77 344852932.27787 344852933.89839 344852935.51891 0 0.0 2874.75362757551 0.0 0.0 0.0
