TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 243424333.71146 243424335.33198 243424336.9525 0 0.0 921.3211330504192 0.0 0.0 0.0
2 243424336.9525 243424338.57301998 243424340.19353998 0 0.0 921.3211330504192 0.0 0.0 0.0
3 243424340.19354 243424341.81406 243424343.43458 0 0.0 921.3211330504192 0.0 0.0 0.0
4 243424343.43458 243424345.0551 243424346.67562 0 0.0 921.3211330504192 0.0 0.0 0.0
5 243424346.67562 243424348.29614 243424349.91665998 0 0.0 921.3211330504192 0.0 0.0 0.0
6 243424349.91665998 243424351.53717998 243424353.15769997 0 0.0 921.3211330504192 0.0 0.0 0.0
7 243424353.1577 243424354.77822 243424356.39874 0 0.0 921.3211330504192 0.0 0.0 0.0
8 243424356.39874 243424358.01926 243424359.63977998 0 0.0 921.3211330504192 0.0 0.0 0.0
9 243424359.63977998 243424361.26029998 243424362.88081998 0 0.0 921.3211330504192 0.0 0.0 0.0
10 243424362.88082 243424364.50134 243424366.12186 0 0.0 921.3211330504192 0.0 0.0 0.0
11 243424366.12186 243424367.74238 243424369.3629 0 0.0 921.3211330504192 0.0 0.0 0.0
12 243424369.3629 243424370.98341998 243424372.60393998 0 0.0 921.3211330504192 0.0 0.0 0.0
13 243424372.60393998 243424374.22445998 243424375.84497997 0 0.0 921.3211330504192 0.0 0.0 0.0
14 243424375.84498 243424377.4655 243424379.08602 0 0.0 921.3211330504192 0.0 0.0 0.0
15 243424379.08602 243424380.70654 243424382.32705998 0 0.0 921.3211330504192 0.0 0.0 0.0
16 243424382.32705998 243424383.94757998 243424385.56809998 0 0.0 921.3211330504192 0.0 0.0 0.0
17 243424385.5681 243424387.18862 243424388.80914 0 0.0 921.3211330504192 0.0 0.0 0.0
18 243424388.80914 243424390.42966 243424392.05018 0 0.0 921.3211330504192 0.0 0.0 0.0
19 243424392.05018 243424393.67069998 243424395.29121998 0 0.0 921.3211330504192 0.0 0.0 0.0
20 243424395.29121998 243424396.91173998 243424398.53225997 0 0.0 921.3211330504192 0.0 0.0 0.0
21 243424398.53226 243424400.15278 243424401.7733 0 0.0 921.3211330504192 0.0 0.0 0.0
22 243424401.7733 243424403.39382 243424405.01433998 0 0.0 921.3211330504192 0.0 0.0 0.0
23 243424405.01433998 243424406.63485998 243424408.25537997 0 0.0 921.3211330504192 0.0 0.0 0.0
24 243424408.25538 243424409.8759 243424411.49642 0 0.0 921.3211330504192 0.0 0.0 0.0
25 243424411.49642 243424413.11694 243424414.73746 0 0.0 921.3211330504192 0.0 0.0 0.0
